epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,630.383,0.61133,0.58939,1.04863,0.9181,0.85683,0.92656,0.77633,0.62321,0.57251,1.04758,0.000841445,0.000841445,0.000841445
43,645.453,0.60753,0.59411,1.03441,0.90689,0.82426,0.91072,0.76223,0.63359,0.57443,1.08382,0.000837578,0.000837578,0.000837578
44,660.366,0.6112,0.58984,1.04878,0.90314,0.89633,0.93697,0.80019,0.63672,0.55679,1.07055,0.000833711,0.000833711,0.000833711
45,676.119,0.59671,0.55059,1.02926,0.89313,0.89596,0.93663,0.78251,0.62572,0.53893,1.05471,0.000829844,0.000829844,0.000829844
46,691.317,0.61406,0.58195,1.05512,0.92194,0.81932,0.9138,0.76131,0.66588,0.64201,1.11016,0.000825977,0.000825977,0.000825977
47,706.343,0.59977,0.57831,1.03561,0.92663,0.85157,0.91929,0.80328,0.63972,0.55035,1.07157,0.000822109,0.000822109,0.000822109
48,721.094,0.60638,0.5493,1.04538,0.90775,0.8919,0.92764,0.78591,0.65371,0.49889,1.09254,0.000818242,0.000818242,0.000818242
49,735.786,0.599,0.55973,1.04183,0.92559,0.91458,0.94953,0.81074,0.64692,0.48601,1.09097,0.000814375,0.000814375,0.000814375
50,750.855,0.58507,0.54167,1.03061,0.94976,0.86881,0.94755,0.80661,0.65332,0.5198,1.10465,0.000810508,0.000810508,0.000810508
51,766.175,0.59819,0.56794,1.04094,0.88428,0.87213,0.92064,0.78006,0.6187,0.55853,1.03521,0.000806641,0.000806641,0.000806641
52,781.172,0.58746,0.55045,1.02393,0.85649,0.91211,0.94058,0.79622,0.64968,0.5159,1.07768,0.000802773,0.000802773,0.000802773
53,796.168,0.59098,0.55045,1.03635,0.87192,0.87468,0.91521,0.762,0.63045,0.60095,1.05797,0.000798906,0.000798906,0.000798906
54,811.007,0.58368,0.52465,1.03371,0.91965,0.87234,0.93702,0.81204,0.61319,0.48957,1.05306,0.000795039,0.000795039,0.000795039
55,826.046,0.59022,0.52336,1.02533,0.88811,0.86066,0.91415,0.78091,0.62678,0.57459,1.04577,0.000791172,0.000791172,0.000791172
56,841.05,0.58682,0.54591,1.0249,0.85157,0.85389,0.91466,0.76892,0.66396,0.53434,1.08775,0.000787305,0.000787305,0.000787305
57,856.69,0.59532,0.538,1.03882,0.88712,0.87243,0.92303,0.79442,0.63163,0.50684,1.06634,0.000783438,0.000783438,0.000783438
58,871.535,0.596,0.53766,1.03811,0.90035,0.89747,0.9269,0.78482,0.67608,0.59627,1.10837,0.00077957,0.00077957,0.00077957
59,886.392,0.59631,0.5388,1.03026,0.89515,0.90289,0.93498,0.80862,0.64791,0.46078,1.07319,0.000775703,0.000775703,0.000775703
60,900.979,0.57505,0.52761,1.03511,0.92266,0.90013,0.93689,0.80303,0.63185,0.4602,1.06728,0.000771836,0.000771836,0.000771836
61,915.638,0.56163,0.51582,1.01086,0.9054,0.8977,0.92983,0.8029,0.63929,0.47111,1.07578,0.000767969,0.000767969,0.000767969
62,930.188,0.58014,0.5199,1.02689,0.88355,0.83812,0.91203,0.76267,0.69763,0.5888,1.11599,0.000764102,0.000764102,0.000764102
63,946.307,0.56841,0.48499,1.01643,0.89998,0.8978,0.93183,0.80173,0.61619,0.51228,1.05772,0.000760234,0.000760234,0.000760234
64,961.434,0.55788,0.49032,1.01863,0.91463,0.88432,0.93048,0.81276,0.58081,0.48735,1.0405,0.000756367,0.000756367,0.000756367
65,976.769,0.58722,0.52424,1.03376,0.89125,0.872,0.93233,0.79871,0.60343,0.53107,1.04692,0.0007525,0.0007525,0.0007525
66,991.747,0.57368,0.48893,1.02223,0.91667,0.87927,0.94746,0.81077,0.6336,0.45665,1.08313,0.000748633,0.000748633,0.000748633
67,1006.41,0.55932,0.47997,1.02303,0.93032,0.85987,0.93126,0.79949,0.62291,0.49994,1.07654,0.000744766,0.000744766,0.000744766
68,1022.22,0.57328,0.48169,1.01741,0.90226,0.89842,0.94007,0.80558,0.6485,0.48804,1.07913,0.000740898,0.000740898,0.000740898
69,1037.33,0.56561,0.47318,1.01756,0.92167,0.91866,0.94386,0.81235,0.61351,0.43638,1.05296,0.000737031,0.000737031,0.000737031
70,1052.52,0.56636,0.50104,1.01957,0.91088,0.90201,0.93066,0.80343,0.63354,0.46822,1.06607,0.000733164,0.000733164,0.000733164
71,1067.57,0.56371,0.49609,1.02754,0.8737,0.89103,0.9212,0.78447,0.62111,0.52057,1.05265,0.000729297,0.000729297,0.000729297
