epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,625.709,0.57416,0.53561,1.0497,0.91668,0.91652,0.94327,0.81869,0.62475,0.44479,1.03741,0.000365781,0.000365781,0.000365781
43,640.396,0.56493,0.52682,1.0457,0.92347,0.89285,0.944,0.80808,0.609,0.486,1.03284,0.000350313,0.000350313,0.000350313
44,654.87,0.56448,0.51623,1.04096,0.91531,0.92476,0.95313,0.837,0.59761,0.41913,1.03619,0.000334844,0.000334844,0.000334844
45,669.428,0.5412,0.50226,1.03476,0.94514,0.91747,0.95775,0.8348,0.57125,0.4274,1.01185,0.000319375,0.000319375,0.000319375
46,684.156,0.53842,0.50383,1.0326,0.90082,0.92,0.94939,0.82773,0.5612,0.45333,0.99064,0.000303906,0.000303906,0.000303906
47,699.325,0.54113,0.48036,1.03296,0.93619,0.89391,0.94991,0.82437,0.57607,0.44138,1.00583,0.000288438,0.000288438,0.000288438
48,713.879,0.52157,0.46111,1.02173,0.945,0.90983,0.95315,0.82699,0.57311,0.431,1.00763,0.000272969,0.000272969,0.000272969
49,728.431,0.53892,0.49955,1.03696,0.93205,0.93694,0.95401,0.83491,0.59916,0.40135,1.03829,0.0002575,0.0002575,0.0002575
50,743.092,0.5372,0.49225,1.02763,0.94002,0.93212,0.95842,0.82533,0.61298,0.39474,1.04717,0.000242031,0.000242031,0.000242031
51,757.649,0.54777,0.47873,1.03889,0.9657,0.90202,0.94635,0.8325,0.57207,0.47639,1.00785,0.000226563,0.000226563,0.000226563
52,772.051,0.51089,0.47207,1.01312,0.94015,0.90122,0.95549,0.83635,0.60208,0.42303,1.01648,0.000211094,0.000211094,0.000211094
53,787.341,0.50987,0.4474,1.02186,0.96083,0.93212,0.95002,0.82683,0.59857,0.43672,1.00635,0.000195625,0.000195625,0.000195625
54,802.353,0.53266,0.47811,1.03678,0.96888,0.93126,0.963,0.84138,0.5661,0.40975,1.00458,0.000180156,0.000180156,0.000180156
55,818.083,0.44532,0.38944,1.00669,0.93816,0.92068,0.95336,0.83496,0.59431,0.42075,1.02227,0.000164688,0.000164688,0.000164688
56,832.453,0.42985,0.3473,0.98266,0.93141,0.94245,0.96077,0.84247,0.58319,0.39323,1.0311,0.000149219,0.000149219,0.000149219
57,846.444,0.42076,0.33544,0.98332,0.92808,0.93352,0.95448,0.83386,0.59633,0.44848,1.03182,0.00013375,0.00013375,0.00013375
58,860.309,0.41832,0.35282,0.99107,0.95289,0.90557,0.95659,0.83725,0.5857,0.41538,1.01911,0.000118281,0.000118281,0.000118281
59,874.267,0.40873,0.32672,0.96929,0.91684,0.93295,0.96513,0.85307,0.58361,0.38338,1.0202,0.000102812,0.000102812,0.000102812
60,888.399,0.40784,0.3168,0.969,0.92969,0.93577,0.96239,0.84592,0.58369,0.40737,1.01205,8.73438e-05,8.73438e-05,8.73438e-05
61,903.223,0.40629,0.31669,0.96744,0.91513,0.94946,0.95812,0.84588,0.5847,0.38966,1.02329,7.1875e-05,7.1875e-05,7.1875e-05
62,917.224,0.40775,0.32883,0.9607,0.89992,0.95404,0.95882,0.84668,0.59099,0.39995,1.02487,5.64062e-05,5.64062e-05,5.64062e-05
63,930.897,0.41123,0.3143,0.98838,0.91014,0.93612,0.9582,0.84344,0.59197,0.40443,1.02483,4.09375e-05,4.09375e-05,4.09375e-05
64,944.864,0.38879,0.28902,0.9699,0.91967,0.93915,0.95834,0.84666,0.59093,0.39916,1.02127,2.54687e-05,2.54687e-05,2.54687e-05
