epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1284.86,0.58064,0.79218,1.02093,0.65346,0.95672,0.97879,0.83682,0.73355,1.21303,1.19468,0.000365781,0.000365781,0.000365781
43,1315.73,0.61838,0.79567,1.05607,0.91832,0.94072,0.97901,0.87083,0.66646,1.03842,1.17072,0.000350313,0.000350313,0.000350313
44,1346.88,0.58587,0.75483,1.03728,0.76527,0.98667,0.98307,0.87924,0.66461,0.97834,1.13925,0.000334844,0.000334844,0.000334844
45,1377.93,0.57545,0.74684,1.02024,0.69393,0.98667,0.9852,0.87528,0.66513,0.98136,1.13859,0.000319375,0.000319375,0.000319375
46,1408.74,0.59157,0.76985,1.06028,0.77712,0.9581,0.98434,0.85602,0.65487,1.06877,1.12954,0.000303906,0.000303906,0.000303906
47,1439.9,0.58811,0.77477,1.0341,0.8057,0.92249,0.88349,0.78755,0.65666,1.14954,1.12497,0.000288438,0.000288438,0.000288438
48,1471.3,0.58564,0.73347,1.03901,0.83088,0.9581,0.88361,0.78372,0.66919,1.06574,1.13393,0.000272969,0.000272969,0.000272969
49,1502.31,0.5661,0.73038,1.00474,0.81135,0.95327,0.88306,0.75527,0.71002,1.06487,1.15236,0.0002575,0.0002575,0.0002575
50,1534.29,0.56222,0.71896,1.02545,0.84575,0.95027,0.98206,0.8386,0.76096,1.10265,1.2214,0.000242031,0.000242031,0.000242031
51,1566.68,0.57826,0.73007,1.03112,0.83334,0.94101,0.98177,0.82505,0.79928,1.12488,1.28467,0.000226563,0.000226563,0.000226563
52,1593.93,0.54639,0.73404,1.02292,0.85424,0.93647,0.88475,0.74788,0.81451,1.07842,1.28293,0.000211094,0.000211094,0.000211094
53,1624.32,0.54112,0.68277,1.01582,0.81349,0.94703,0.88458,0.75286,0.77634,1.06428,1.2486,0.000195625,0.000195625,0.000195625
54,1657.35,0.57778,0.69169,1.04499,0.72328,0.96015,0.88546,0.76374,0.70944,1.00852,1.2059,0.000180156,0.000180156,0.000180156
55,1689.15,0.47269,0.7664,1.00445,0.65978,0.97591,0.78427,0.67165,0.66786,1.03085,1.18579,0.000164688,0.000164688,0.000164688
56,1720.75,0.44999,0.73349,0.95828,0.79327,0.77258,0.75131,0.61483,0.72374,1.15635,1.23307,0.000149219,0.000149219,0.000149219
57,1752.15,0.44037,0.76159,0.97409,0.59951,0.94301,0.85106,0.70559,0.7388,1.14333,1.26347,0.00013375,0.00013375,0.00013375
58,1783.64,0.43893,0.68758,0.99487,0.67514,0.95135,0.88624,0.76448,0.6995,1.0611,1.23428,0.000118281,0.000118281,0.000118281
59,1814.43,0.42556,0.63724,0.9467,0.71084,0.96913,0.88514,0.77842,0.68335,1.03408,1.22093,0.000102812,0.000102812,0.000102812
60,1844.89,0.42846,0.65287,0.96405,0.72097,0.9665,0.88234,0.76813,0.70763,1.04733,1.23226,8.73438e-05,8.73438e-05,8.73438e-05
61,1874.65,0.4075,0.66179,0.93941,0.7197,0.96691,0.88221,0.74067,0.72523,1.05097,1.24026,7.1875e-05,7.1875e-05,7.1875e-05
62,1904.83,0.4009,0.65646,0.9572,0.71605,0.96826,0.88185,0.73954,0.73333,1.04657,1.24444,5.64062e-05,5.64062e-05,5.64062e-05
63,1935.35,0.38681,0.62989,0.93542,0.71681,0.97238,0.88289,0.74438,0.71449,1.0068,1.22703,4.09375e-05,4.09375e-05,4.09375e-05
64,1966.43,0.38796,0.61313,0.92229,0.73044,0.97238,0.88287,0.74485,0.70086,0.98746,1.2112,2.54687e-05,2.54687e-05,2.54687e-05
